iter	Passed	Remaining
428	1903	2533
429	1906	2527
430	1909	2520
431	1912	2514
432	1915	2508
433	1919	2503
434	1922	2497
435	1925	2490
436	1928	2484
437	1932	2479
438	1935	2472
439	1938	2466
440	1941	2460
441	1944	2454
442	1947	2448
443	1950	2442
444	1953	2436
445	1956	2430
446	1959	2424
447	1978	2437
448	1981	2432
449	1984	2425
450	1987	2419
451	1990	2413
452	1993	2407
453	1997	2401
454	1999	2395
455	2002	2389
456	2005	2383
457	2009	2377
458	2012	2371
459	2014	2365
460	2017	2359
461	2020	2353
462	2024	2347
463	2032	2347
464	2035	2341
465	2037	2335
466	2041	2329
467	2044	2323
468	2047	2317
469	2050	2311
470	2053	2305
471	2056	2300
472	2059	2294
473	2062	2288
474	2065	2283
475	2068	2277
476	2072	2271
477	2074	2265
478	2077	2260
479	2080	2254
480	2083	2248
481	2086	2242
482	2106	2254
483	2109	2248
484	2112	2243
485	2115	2237
486	2118	2232
487	2126	2231
488	2129	2225
489	2132	2219
490	2135	2213
491	2138	2207
492	2141	2202
493	2144	2196
494	2147	2190
495	2150	2184
496	2153	2179
497	2156	2174
498	2159	2168
499	2162	2162
500	2165	2156
501	2169	2151
502	2172	2146
503	2175	2140
504	2178	2134
505	2181	2129
506	2184	2124
507	2187	2118
508	2190	2112
509	2193	2107
510	2196	2101
511	2199	2096
512	2202	2091
513	2205	2085
514	2208	2080
515	2211	2074
516	2214	2069
517	2218	2063
518	2220	2058
519	2223	2052
520	2226	2047
521	2229	2041
522	2237	2040
523	2240	2035
524	2243	2029
525	2246	2024
526	2266	2034
527	2269	2029
528	2273	2023
529	2276	2018
530	2278	2012
531	2282	2007
532	2285	2002
533	2287	1996
534	2290	1991
535	2293	1985
536	2297	1980
537	2299	1975
538	2302	1969
539	2305	1964
540	2308	1958
541	2311	1953
542	2330	1961
543	2333	1956
544	2336	1950
545	2339	1945
546	2342	1939
547	2363	1949
548	2366	1944
549	2369	1938
550	2372	1933
551	2375	1928
552	2378	1922
553	2381	1917
554	2384	1912
555	2387	1906
556	2390	1901
557	2394	1896
558	2397	1891
559	2400	1885
560	2403	1880
561	2406	1875
562	2409	1870
563	2412	1865
564	2415	1859
565	2418	1854
566	2421	1849
567	2424	1844
568	2428	1839
569	2431	1833
570	2433	1828
571	2436	1823
572	2440	1818
573	2443	1813
574	2446	1808
575	2449	1802
576	2451	1797
577	2454	1792
578	2474	1798
579	2477	1793
580	2480	1788
581	2483	1783
582	2486	1778
583	2507	1786
584	2510	1781
585	2514	1776
586	2517	1771
587	2520	1765
588	2527	1763
589	2530	1758
590	2532	1752
591	2535	1747
592	2555	1753
593	2558	1749
594	2562	1744
595	2565	1738
596	2568	1733
597	2588	1739
598	2591	1734
599	2594	1729
600	2597	1724
601	2600	1719
602	2620	1725
603	2624	1720
604	2628	1715
605	2631	1710
606	2634	1705
607	2637	1700
608	2640	1695
609	2643	1689
610	2645	1684
611	2649	1679
612	2652	1674
613	2655	1669
614	2657	1663
615	2660	1658
616	2663	1653
617	2666	1648
618	2669	1643
619	2672	1638
620	2675	1632
621	2678	1627
622	2681	1622
623	2684	1617
624	2687	1612
625	2690	1607
626	2693	1602
627	2696	1597
628	2699	1592
629	2702	1587
630	2705	1582
631	2708	1577
632	2711	1572
633	2732	1577
634	2736	1572
635	2739	1568
636	2742	1563
637	2746	1558
638	2749	1553
639	2752	1548
640	2755	1543
641	2758	1538
642	2761	1533
643	2764	1528
644	2767	1523
645	2770	1518
646	2773	1513
647	2776	1508
648	2781	1504
649	2783	1499
650	2786	1494
651	2789	1488
652	2792	1483
653	2795	1479
654	2798	1474
655	2801	1469
656	2804	1464
657	2807	1459
658	2810	1454
659	2813	1449
660	2816	1444
661	2819	1439
662	2822	1434
663	2825	1429
664	2832	1426
665	2835	1421
666	2838	1417
667	2841	1412
668	2859	1414
669	2862	1410
670	2865	1405
671	2868	1400
672	2871	1395
673	2875	1390
674	2878	1385
675	2881	1380
676	2884	1376
677	2887	1371
678	2908	1374
679	2911	1370
680	2914	1365
681	2917	1360
682	2920	1355
683	2924	1350
684	2941	1352
685	2944	1347
686	2947	1343
687	2950	1338
688	2953	1333
689	2956	1328
690	2959	1323
691	2962	1318
692	2965	1313
693	2968	1308
694	2989	1311
695	2993	1307
696	2996	1302
697	2999	1297
698	3002	1293
699	3020	1294
700	3023	1289
701	3037	1289
702	3041	1284
703	3044	1280
704	3047	1275
705	3050	1270
706	3070	1272
707	3073	1267
708	3077	1263
709	3080	1258
710	3083	1253
711	3103	1255
712	3107	1250
713	3111	1246
714	3114	1241
715	3117	1236
716	3120	1231
717	3123	1226
718	3126	1221
719	3129	1216
720	3132	1212
721	3136	1207
722	3139	1202
723	3152	1201
724	3155	1196
725	3158	1191
726	3161	1187
727	3164	1182
728	3183	1183
729	3187	1178
730	3190	1174
731	3193	1169
732	3196	1164
733	3216	1165
734	3219	1160
735	3222	1156
736	3225	1151
737	3228	1146
738	3249	1147
739	3252	1142
740	3256	1138
741	3259	1133
742	3263	1128
743	3266	1123
744	3269	1118
745	3271	1114
746	3274	1109
747	3278	1104
748	3281	1099
749	3284	1094
750	3286	1089
751	3289	1084
752	3293	1080
753	3296	1075
754	3299	1070
755	3302	1065
756	3305	1061
757	3308	1056
758	3311	1051
759	3314	1046
760	3317	1041
761	3320	1037
762	3323	1032
763	3326	1027
764	3329	1022
765	3332	1018
766	3335	1013
767	3338	1008
768	3341	1003
769	3348	1000
770	3351	995
771	3354	990
772	3357	985
773	3360	981
774	3363	976
775	3366	971
776	3369	966
777	3372	962
778	3376	957
779	3379	953
780	3382	948
781	3391	945
782	3393	940
783	3396	935
784	3399	931
785	3402	926
786	3405	921
787	3424	921
788	3427	916
789	3431	912
790	3434	907
791	3437	902
792	3440	898
793	3443	893
794	3446	888
795	3449	884
796	3452	879
797	3455	874
798	3458	870
799	3461	865
800	3464	860
801	3467	856
802	3470	851
803	3473	846
804	3476	842
805	3479	837
806	3482	832
807	3485	828
808	3488	823
809	3491	819
810	3494	814
811	3497	809
812	3501	805
813	3520	804
814	3524	799
815	3527	795
816	3530	790
817	3540	787
818	3544	783
819	3547	778
820	3551	774
821	3555	769
822	3568	767
823	3571	762
824	3575	758
825	3578	753
826	3582	749
827	3587	745
828	3590	740
829	3601	737
830	3605	733
831	3618	730
832	3621	725
833	3627	722
834	3630	717
835	3634	712
836	3637	708
837	3640	703
838	3643	699
839	3650	695
840	3653	690
841	3656	686
842	3659	681
843	3663	677
844	3666	672
845	3669	667
846	3672	663
847	3675	658
848	3678	654
849	3681	649
850	3684	645
851	3687	640
852	3690	635
853	3693	631
854	3696	626
855	3699	622
856	3702	617
857	3705	613
858	3708	608
859	3711	604
860	3714	599
861	3717	595
862	3720	590
863	3723	586
864	3726	581
865	3730	577
866	3733	572
867	3736	568
868	3739	563
869	3742	559
870	3761	557
871	3764	552
872	3767	548
873	3770	543
874	3774	539
875	3777	534
876	3780	530
877	3783	525
878	3786	521
879	3789	516
880	3792	512
881	3795	507
882	3798	503
883	3808	499
884	3811	495
885	3814	490
886	3818	486
887	3821	481
888	3841	479
889	3844	475
890	3847	470
891	3850	466
892	3853	461
893	3857	457
894	3860	452
895	3863	448
896	3866	443
897	3869	439
898	3872	435
899	3875	430
900	3878	426
901	3881	421
902	3884	417
903	3887	412
904	3890	408
905	3893	403
906	3896	399
907	3899	395
908	3902	390
